common_term,synonym1,synonym2,...
custody,day to day care,,
divorce,dissolution,,
free speech,freedom of expression,,
power of attorney,enduring power of attorney,,
acc act,accident compensation act 2001,,
dui,blood-alcohol limit,,
alimony,spousal maintenance,,
common law marriage,de facto relationship,,
pre nup,contracting out agreement,section 21 agreement,
pre nuptial,contracting out agreement,section 21 agreement,
libel,defamation,,
slander,defamation,,
Trespass,Trespass to the person,Trespassing on land,
Nuisance,Private nuisance,Public nuisance,
council,local authority,,
Accessory,parties to offences,accesories after the fact,
Murder,homicide,culpable homicide,
dying without will,Intestacy,Partial intestacy,
hearing,trial,,
trial,hearing,,
